"symIndex","startDay","delta1","delta2","delta3","nowEndDelta"
220,3842,0.0029965753424656683,-0.014554794520547976,-0.008989726027397227,-1
220,3842,-0.0029965753424656683,0.014554794520547976,0.008989726027397227,1
209,4207,-0.017737485218762283,0.0023649980291683415,0.0031533307055577886,1
209,4207,0.017737485218762283,-0.0023649980291683415,-0.0031533307055577886,-1
152,4293,0.004744958481613382,-0.0019770660340057145,-0.0019770660340054924,0
152,4293,-0.004744958481613382,0.0019770660340057145,0.0019770660340054924,0
226,3179,0.03214285714285703,-0.023214285714285743,0.0071428571428572285,-1
226,3179,-0.03214285714285703,0.023214285714285743,-0.0071428571428572285,1
106,1051,0.007541478129713397,0.010558069381598756,-0.004524886877828038,-1
106,1051,-0.007541478129713397,-0.010558069381598756,0.004524886877828038,1
149,1658,-0.01255605381165914,0.043946188340807324,0.003288490284005907,1
149,1658,0.01255605381165914,-0.043946188340807324,-0.003288490284005907,-1
168,266,-0.017094017094017144,0.0,0.02564102564102566,0
168,266,0.017094017094017144,-0.0,-0.02564102564102566,0
5,5222,-0.00951410125722063,0.023785253143051355,-0.0027183146449201168,1
5,5222,0.00951410125722063,-0.023785253143051355,0.0027183146449201168,-1
195,1519,-0.013406668958405032,0.02440701271914758,-0.0055001718803713295,1
195,1519,0.013406668958405032,-0.02440701271914758,0.0055001718803713295,-1
217,468,0.01449275362318847,0.02898550724637683,0.014492753623188248,0
217,468,-0.01449275362318847,-0.02898550724637683,-0.014492753623188248,0
129,5292,-9.88924050633E-4,0.009295886075949555,0.0035601265822784445,-1
129,5292,9.88924050633E-4,-0.009295886075949555,-0.0035601265822784445,1
231,3438,-0.0035644847699287663,-0.0025923525599480524,-0.018470511989630678,0
231,3438,0.0035644847699287663,0.0025923525599480524,0.018470511989630678,0
197,645,0.015151515151515138,-0.015151515151515138,0.0,-1
197,645,-0.015151515151515138,0.015151515151515138,-0.0,1
153,5604,-0.013129573826948016,0.0038743004735256603,0.00904003443822643,-1
153,5604,0.013129573826948016,-0.0038743004735256603,-0.00904003443822643,1
25,2637,-0.022004062288422443,0.023696682464455,-0.003385240352065111,1
25,2637,0.022004062288422443,-0.023696682464455,0.003385240352065111,-1
1,3859,-0.014056224899598235,0.016064257028112316,-0.008032128514056103,-1
1,3859,0.014056224899598235,-0.016064257028112316,0.008032128514056103,1
89,201,-0.040441176470588314,0.014705882352941235,0.018382352941176516,0
89,201,0.040441176470588314,-0.014705882352941235,-0.018382352941176516,0
223,175,0.0,-0.016438356164383716,-0.016438356164383494,-1
223,175,-0.0,0.016438356164383716,0.016438356164383494,1
159,5620,0.0,-0.003100241129865733,-3.4447123665160007E-4,1
159,5620,-0.0,0.003100241129865733,3.4447123665160007E-4,-1
59,4400,7.433838834374207E-4,0.010407374368123667,0.013678263455248363,1
59,4400,-7.433838834374207E-4,-0.010407374368123667,-0.013678263455248363,-1
45,333,-0.022662889518413554,-0.0056657223796034994,-0.022662889518413554,0
45,333,0.022662889518413554,0.0056657223796034994,0.022662889518413554,0
80,2610,0.003987240829346206,-0.003987240829346206,-0.03189792663476876,0
80,2610,-0.003987240829346206,0.003987240829346206,0.03189792663476876,0
189,3959,-0.0022831050228311334,0.011415525114155223,0.007305936073059405,1
